;Purchase;Organisation;Price;Date
103;"СМР по проекту: Реконструкция инженерных сетей Санатория-профилактория ""Энергетик""";"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Нововоронежская АЭС""
Заказчик:ОАО ""Концерн Росэнергоатом""";47906000;16.07.2013
104;"СМР по проекту: Строительство газовой котельной Санатория-профилактория ""Энергетик""";"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Нововоронежская АЭС""
Заказчик:ОАО ""Концерн Росэнергоатом""";16700000;28.06.2013
105;Ремонт ограждений проезд Энергетиков, д. 6.;"Закрытое акционерное общество ""Новосибирскэнергоснабкомплектоборудование""
Заказчик:ОАО ""СИБЭКО""";600000;25.06.2013
106;"Комплекс кухонного технологического оборудования для комплектации вновь строящейся столовой санатория-профилактория ""Энергетик""";"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Нововоронежская АЭС""
Заказчик:ОАО ""Концерн Росэнергоатом""";9954957;09.07.2013
107;"Комплекс кухонного технологического оборудования для комплектации вновь строящейся столовой санатория-профилактория ""Энергетик""";"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Нововоронежская АЭС""
Заказчик:ОАО ""Концерн Росэнергоатом""";9885914;23.05.2013
108;"Физическая охрана объектов Комбината спортивных сооружений ""Энергетик""";"Акционерное общество ""Концерн Росэнергоатом"" Филиал ""Курская атомная станция""
Заказчик:ОАО ""Концерн Росэнергоатом""";3574136;01.08.2013
109;"Комплект мебели и оборудования для реконструкции спальных корпусов №№1,2,3,4 СП ""Энергетик""";"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Нововоронежская АЭС""
Заказчик:ОАО ""Концерн Росэнергоатом""";3832369;10.06.2013
110;"Выполнение ПНР по проекту: ""Строительство газовой котельной СП ""Энергетик""";"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Нововоронежская АЭС""
Заказчик:ОАО ""Концерн Росэнергоатом""";1738200;09.07.2013
111;Системный анализ программных комплексов, предназначенных для моделирования химико-технологических систем, и разработка ключевых алгоритмических и математических решений для создания программного комплекса моделирования химико-технологических процессов получения топливных и конструкционных материалов атомной и термоядерной энергетики;"Акционерное общество ""Ведущий научно-исследовательский институт химической технологии""";5399998;13.06.2013
112;Повышение надежности, эффективности, безопасности эксплуатации электротехнического оборудования по теме: «Проведение проверок состояния эксплуатации и технического обслуживания ЭО АЭС с привлечением специалистов предприятий традиционной энергетики»;"Технологический филиал АО ""Концерн Росэнергоатом""
Заказчик:ОАО ""Концерн Росэнергоатом""";1695959;03.07.2013
113;Оказание услуг по проведению рекламно-имиджевых мероприятий, посвященных деятельности филиала «Концерн Росэнергоатом» «Калининская атомная станция», создание в регионе расположения КАЭС устойчивого положительного мнения о социальной и экономической приемлемости КАЭС и атомной энергетики в целом;"Акционерное общество ""Концерн Роснергоатом"" филиал ""Калининская атомная станция""";641920;10.06.2013
114;Экспертиза и паспортизация запорной и регулирующей арматуры на котлах и трубопроводах, зарегистрированных в органах Ростехнадзора;"Закрытое акционерное общество ""Новосибирскэнергоснабкомплектоборудование""
Заказчик:ОАО ""Бийскэнерго""";960000;03.06.2013
115;Щиты управления электрообогревом;"Общество с ограниченной ответственостью ""НГ-Энерго""";;05.06.2013
116;Лот №1 Комплексы технических средств обучения прочие;Интегратор ММВБ;30315000;26.01.2015
117;Лот №1 Комплексы технических средств обучения прочие;Интегратор ММВБ;22210000;26.01.2015
118;"Лот №1 Строительство зданий и сооружений ""под ключ"", включая ремонт и реконструкцию";Интегратор ММВБ;6002000;26.01.2015
119;Лот №1 Комплексы технических средств обучения прочие;Интегратор ММВБ;4500000;26.01.2015
120;Лот №1 Текущий ремонт и содержание дорог;Интегратор ММВБ;2534639;26.01.2015
121;Лот №1 Укладка трубопроводов на наружных сетях;Интегратор ММВБ;1497621;26.01.2015
